,up,down,left,right
"(7,1)",-4.99603859187,-203.992262875,-203.57050327,-4.9974646988
"(7,2)",-203.981110534,-203.963106512,-4.9968308735,-4.9974646988
"(7,3)",-203.99504824,-4.99797175904,-4.9974646988,-203.95388314
"(7,4)",-200.0,-200.0,-4.9938102998,-4.95388313982
"(7,5)",-4.99837740723,-200.0,-200.0,-200.0
"(7,6)",-200.0,-200.0,-4.99837740723,-3.951424
"(7,7)",-203.1611392,-3.68928,-203.1611392,-4.1611392
"(7,8)",-203.32891136,-202.3616,-3.951424,-4.32891136
"(7,9)",-203.463129088,-201.952,-4.1611392,-4.463129088
"(7,1)",-203.57050327,-201.44,-4.32891136,-4.5705032704
"(7,1)",-4.65640261632,-200.8,-4.463129088,-203.656402616
"(7,1)",-203.725122093,-200.0,-4.5705032704,-203.656402616
"(8,0)",-200.8,-4.999335386,-200.8,-203.656402616
"(8,1)",-4.9968308735,-4.9991692325,-200.0,-200.0
"(8,2)",-4.9938102998,-4.99226287475,-200.0,-4.99837740723
"(8,3)",-4.99797175904,-4.99797175904,-203.887410009,-203.998377407
"(8,4)",-200.0,-200.8,-4.99837740723,-200.8
"(8,5)",-4.99870192579,-3.951424,-200.8,-200.0
"(8,6)",-200.0,-3.68928,-200.0,-3.68928
"(8,7)",-3.951424,-3.3616,-201.44,-202.3616
"(8,8)",-4.1611392,-2.952,-3.68928,-200.0
"(8,9)",-4.32891136,-2.44,-202.3616,-201.44
"(8,1)",-4.463129088,-1.8,-200.0,-200.8
"(8,1)",-4.5705032704,-1.0,-201.44,-200.0
"(8,1)",-200.0,0.0,0.0,0.0
"(9,0)",-203.998377407,-203.998377407,-4.999335386,-4.9991692325
"(9,1)",-203.981110534,-203.987910742,-4.9991692325,-4.99896154063
"(9,2)",-203.976388168,-203.887410009,-4.9991692325,-4.99870192579
"(9,3)",-4.99837740723,-203.998961541,-4.99837740723,-203.1611392
"(9,4)",-203.942353925,-200.0,-4.85926251164,-3.951424
"(9,5)",-200.0,-203.1611392,-201.44,-3.68928
"(9,6)",-202.951424,-202.951424,-3.951424,-3.3616
"(9,7)",-3.68928,-202.68928,-3.68928,-2.952
"(9,8)",-202.3616,-202.3616,-3.3616,-2.44
"(9,9)",-201.952,-201.952,-2.952,-1.8
"(9,1)",-201.44,-201.44,-2.44,-1.0
"(9,1)",-200.8,-200.8,-1.8,0.0
"(9,1)",0.0,0.0,0.0,0.0
"(1,0)",-4.999335386,-200.0,-200.0,-203.987910742
"(1,0)",-4.9991692325,-200.0,-203.990328593,-200.0
"(1,0)",-4.99837740723,-203.887410009,-200.0,-200.0
"(1,0)",-4.99870192579,-200.0,-200.8,-200.0
"(1,0)",-203.1611392,-200.0,-200.0,-200.0
"(1,0)",-3.951424,-200.0,-200.0,-200.0
"(1,0)",-3.68928,-200.0,-200.8,-200.0
"(1,0)",-3.3616,-200.0,-200.0,-200.0
"(1,0)",-2.952,-200.0,-200.8,-201.952
"(1,0)",-2.44,-201.952,-202.3616,-201.44
"(1,0)",-1.8,-200.8,-201.952,-200.8
"(1,0)",-1.0,-200.0,-200.8,-200.0
"(1,0)",0.0,0.0,0.0,0.0
